user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
Up38KJ2SCuzfnabyM6ZeAM,Creative Accounting| Fraud and International Accounting Scandals,Michael J. Jones,John Wiley & Sons,9781119978626,English,6,4.0
ChqLbZAdQcmzEXH6YMkoeX,Quantitative Value: A Practitioner's Guide to Automating Intelligent Investment and Eliminating Behavioral Errors,Wesley R. Gray,John Wiley & Sons,9781118416556,English,2,4.5
96zHU4Mhma4Ax7uhEC9wPN,Fair Lending Compliance,Clark R. Abrahams,John Wiley & Sons,9780470241899,English,9,0
nxHHrqpfeRBiXoPmxB8Jn9,Accounting: An Introduction| 6/E,Peter Atrill,Pearson Higher Education AU,9781486009664,English,3,3.8
GDVgCWC7GCUoLZxW7QEs9d,Mastering Private Equity Set,Claudia Zeisberger,John Wiley & Sons,9781119431169,English,3,5.0
92xs8ctyYv7EDGw9844zHV,Financial Accounting Theory,Craig Deegan,McGraw-Hill Education Australia,9781743074626,English,3,4.7
iMJzBxZ9LYFgpAB8b5VEG5,Trading Binary Options: Strategies and Tactics| Edition 2,Abe Cofnas,John Wiley & Sons,9781119194194,English,2,3.7
9uozetjg3KmL9yyzjNawHF,Accounting for Real Estate Transactions,Maria K. Davis,John Wiley & Sons,9781118162828,English,5,1.0
Prj2x3a8TuwDFvyqR6ZTcr,Credit Risk Analytics: Measurement Techniques| Applications| and Examples in SAS,Bart Baesens,John Wiley & Sons,9781119278344,English,2,0
HkCLM3vAULR22QjdeNunuA,Credit Risk Modeling using Excel and VBA,Gunter Löeffler,John Wiley & Sons,9780470510742,English,0,5.0
ULEaVncr8et6ynNeK6i4d5,Investment Banking: Valuation| Leveraged Buyouts| and Mergers and Acquisitions| Edition 2,Joshua Pearl,John Wiley & Sons,9781118715864,English,7,4.4
2tZurVK3ZMRRh8p7YVsYBj,Mastering Private Equity: Transformation via Venture Capital| Minority Investments and Buyouts,Claudia Zeisberger,John Wiley & Sons,9781119327981,English,3,0
jzuS9YaQTzZEyV8N9ot25G,Commodities and Commodity Derivatives: Modeling and Pricing for Agriculturals| Metals and Energy,Helyette Geman,John Wiley & Sons,9780470687734,English,6,4.0
St9U4tzpJMNPAE22SY8BHm,Behavioral Finance: Understanding the Social| Cognitive| and Economic Debates,Edwin Burton,John Wiley & Sons,9781118331927,English,8,0
2yTzJC8hpRsLxNLubM4fMo,Financial Accounting: A Practical Approach: Edition 3,Suellen Freeman,Pearson Higher Education AU,9781442539709,English,7,1.0
CoetTAtuospn6HrzNSfgEb,Interest Rate Markets,Siddhartha Jha,John Wiley & Sons,9781118017791,English,9,3.0
39w8aeSuDb9BEfBarK3sxf,Implementing Enterprise Risk Management: From Methods to Applications,James Lam,John Wiley & Sons,9781118235362,English,6,0
EfvEacDJMdbaj34ScwcKWX,Intermarket Analysis,John J. Murphy,John Wiley & Sons,9781118045558,English,3,4.3
67CpujB4HChvivcVSsdhBj,Financial Institutions| Instruments and Markets| 8th edition,Christopher Viney,McGraw-Hill Education Australia,9781743764848,English,7,1.7
Mf9RkMJt9tzUBVCutwLYDs,Currency Trading and Intermarket Analysis,Ashraf Laïdi,John Wiley & Sons,9780470472163,English,6,3.7
DnnqqHoRqN8Kuy7vt4VGRM,Markets in Profile,James F. Dalton,John Wiley & Sons,9781118044643,English,0,0
ZJFNEKdYU4hCvH2bW645dS,The Handbook of Technical Analysis + Test Bank: The Practitioner's Comprehensive Guide to Technical Analysis,Mark Andrew Lim,John Wiley & Sons,9781118498927,English,5,5.0
YmZyBCBVinbArm9azbb2fm,Fixed-Income Securities: Valuation| Risk Management and Portfolio Strategies,Lionel Martellini,John Wiley & Sons,9780470868225,English,6,5.0
user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
fnsZZfCyG3TBWuuGcCzca7,Vienna – A Doctor’s Guide: 15 walking tours through Vienna’s medical history,Wolfgang Regal,Springer Science & Business Media,9783211489529,English,2,0
Zr3g3iFnH7dshgdRLVJeni,Egypt| Greece| and Rome: Civilizations of the Ancient Mediterranean| Edition 3,Charles Freeman,OUP Oxford,9780191509704,English,7,0
7FpjFFWWd9oojD88QsxXfw,The VES Handbook of Visual Effects: Industry Standard VFX Practices and Procedures| Edition 3,Jeffrey A. Okun| VES,Routledge,9781351009393,English,7,0
WVisF8g2UH7VLzXcryMvg9,Cinema 4D Apprentice: Real-World Skills for the Aspiring Motion Graphics Artist,Kent McQuilkin,CRC Press,9781317693604,English,1,4.0
63NqjtStnvubMKpT7bh5S4,Gardner's Art through the Ages: The Western Perspective| Volume II: Volume 2| Edition 15,Fred S. Kleiner,Cengage Learning,9781305854710,English,6,0
dRiNu2WC7a4sSTagwn3jca,Understanding Art: Edition 11,Lois Fichner-Rathus,Cengage Learning,9781305890329,English,6,4.0
fz5rPS5x7s7UCKuMyB3Fch,Concrete Construction Manual,Friedbert Kind-Barkauskas,Walter de Gruyter,9783955531638,English,3,0
W6oPFEwfHvGjNGGsbLCSto,The Green Screen Handbook: Real-World Production Techniques| Edition 2,Jeff Foster,CRC Press,9781317673576,English,0,4.0
jsg3q9EiDht99xD6UaomE4,At Home with the Sapa Inca: Architecture| Space| and Legacy at Chinchero,Stella Nair,University of Texas Press,9781477305508,English,9,0
UPxd6x94rLKF5Tdk2SKqUU,Exploring Art: A Global| Thematic Approach: Edition 5,Margaret Lazzari,Cengage Learning,9781305480544,English,0,4.7
e5zaiajqMGXyzwMJbouNoa,Art and Agency: An Anthropological Theory,Alfred Gell,Clarendon Press,9780191512155,English,7,0
EnPeYx5Q7LyXr9z7pP8SfT,A Companion to Museum Studies,Sharon Macdonald,John Wiley & Sons,9781444357943,English,2,4.0
EBcyekb2TKNmjqYncrp79N,The Complete Guide to Film and Digital Production: The People and The Process| Edition 3,Lorene M. Wales,Taylor & Francis,9781315294872,English,6,5.0
5tsMsBxTWBGDsdNmtSfJGA,Strategic Management in the Arts,Lidia Varbanova,Routledge,9781136302442,English,0,4.0
aihzZ5EjWFUhU4TCknS3vV,Physics in the Arts: Edition 3,Pupa U.P.A. Gilbert,Academic Press,9780128243480,English,2,0
BtpFUsHjaMhJ6Ltw8otKzc,The Complete Guide to Perspective Drawing: From One-Point to Six-Point,Craig Attebery,Routledge,9781315443546,English,4,0
V7VVEFkiPTiYn9ci84jabz,The Art of City Sketching: A Field Manual,Michael C. Abrams,Routledge,9781136665455,English,7,3.0
ZnhUse9oJrrzPDHSAryNyX,Cosmopolitan Canvases: The Globalization of Markets for Contemporary Art,Olav Velthuis,OUP Oxford,9780191027543,English,1,0
LtzAEUhJyrWNnDMBtian6g,Gender| Sexuality and Museums: A Routledge Reader,Amy K. Levin,Routledge,9781136943638,English,9,0
U8rymsg56f44cbWpZh9KoT,Design Basics: Edition 9,Stephen Pentak,Cengage Learning,9781305464933,English,1,0
bf5Hq38NdFkLAogWnVTGvz,The Art Business,Iain Robertson,Routledge,9781134222421,English,7,0
4h6t6wVKktKvTMFfhkpwVj,A Short History of the Ancient World,Nicholas K. Rauh,University of Toronto Press,9781442603875,English,3,0
e2UREH2N8FfDbKBtrqhKez,Art of the Yellow Springs,Wu Hung,Reaktion Books,9781861897183,English,6,5.0
hJGZnSUVYB5RYRghQuEe68,The Dancer Defects: The Struggle for Cultural Supremacy during the Cold War,David Caute,OUP Oxford,9780191554582,English,0,5.0
j4rDtQEXdH32FcXecmieW7,Gardner's Art through the Ages: A Global History: Edition 15,Fred S. Kleiner,Cengage Learning,9781305544840,English,9,0
a5gaR58zyjRQcZjhvhA2xb,Salome: The Image of a Woman Who Never Was; Salome,Rosina Neginsky,Cambridge Scholars Publishing,9781443869621,English,0,5.0
NvVtM2u2X6anaS7QhHfa3y,Modern Post: Workflows and Techniques for Digital Filmmakers,Scott Arundale,CRC Press,9781317753049,English,3,0
cEPW4RozhgJ9WvgkvwL22K,Documentary Voice & Vision: A Creative Approach to Non-Fiction Media Production,Kelly Anderson,CRC Press,9781317636120,English,7,0
8oGdTwscS6hFpddzsJm6Ac,Critical Thinking About Sex| Love| and Romance in the Mass Media: Media Literacy Applications,Mary-Lou Galician,Routledge,9781135250478,English,9,0
YASfBjDfvUFhroQ72hRN4w,A Story of Ruins: Presence and Absence in Chinese Art and Visual Culture,Wu Hung,Reaktion Books,9781861899767,English,3,0
Lw4HmuGLCu9jhuk7n6ViYi,The Erma Bombeck Collection: If Life Is a Bowl of Cherries| What Am I Doing in the Pits?| Motherhood| and The Grass Is Always Greener Over the Septic Tank,Erma Bombeck,Open Road Media,9781480430594,English,2,4.8
YaAubVbcrHdUHprJ9yuiGk,Foundations of Art and Design: Edition 2,Lois Fichner-Rathus,Cengage Learning,9781305176829,English,1,3.0
KHhLZPa3BEoe2TrTn26gRC,The Past is the Present; It's the Future Too: The Temporal Turn in Contemporary Art,Christine Ross,Bloomsbury Publishing USA,9781441147745,English,8,0
4SXTFoXqWq726qvCMsri3K,Gardner's Art through the Ages:The Western Perspective| Volume I: Volume 1| Edition 15,Fred S. Kleiner,Cengage Learning,9781305890381,English,9,0
KtBEn5QowWFwDoQbGKgPmT,Gardner's Art through the Ages: A Concise Western History: Edition 4,Fred S. Kleiner,Cengage Learning,9781305890374,English,6,0
jEASWivVLn5ZNsB8ksRGfK,The World According to Snoopy Volume Two,Charles M. Schulz,Open Road Media,9781504050784,English,2,5.0
H97hpPwsUM88G73RJ9wexU,Analysing Popular Music: Image| Sound and Text,David Machin,SAGE,9781446203378,English,7,3.0
EJTFG8Cr5XrB9Qd4XNQaZ9,The Documentary Film Reader: History| Theory| Criticism,Jonathan Kahana,Oxford University Press,9780190459321,English,6,0
7WiJ6sHdpLKiy8ra6YbeH8,American Film and Society Since 1945| 5th Edition: Edition 5,Leonard Quart,ABC-CLIO,9781440833229,English,9,0
DrcrxJeRvLPSBSpsTUH5Fa,Pedestrian Bridges: Ramps| Walkways| Structures,Andreas Keil,Walter de Gruyter,9783955531478,English,3,0
JaqopRWN5AULRGWD7X7ujX,Wine Grapes: A Complete Guide to 1|368 Vine Varieties| Including Their Origins and Flavours,Jancis Robinson,Harper Collins,9780062325518,English,3,3.9
73bkMhstTYvxthMsUohiGR,The World According to Snoopy Volume One,Charles M. Schulz,Open Road Media,9781504047067,English,3,5.0
kBBpwkXXE5gHfFsJvWUUZF,The Expert versus the Object: Judging Fakes and False Attributions in the Visual Arts,Ronald D. Spencer,Oxford University Press,9780195349030,English,8,3.0
TyC6zQbBNf5B3pZg8ux6Ac,Theorizing Bruce Lee,Paul Bowman,Rodopi,9789042027770,English,8,4.6
QWZUGYTenVnsCHDJ4gUkfh,Television Production: Edition 17,Jim Owens,Routledge,9780429648441,English,6,0
iZGnwWr5K9AY7S7TgJzsNZ,Introduction to Cinematography: Learning Through Practice,Tania Hoser,Routledge,9781315305301,English,1,0
RyMB27s95eGpAFSStddanC,PIB Summary 2019 Exams Exclusive Vol-1st,Dheeraj Sharma,DHEERAJ SHARMA,Original pages,Antiques & Collectibles / Magazines & Newspapers,2,5.0
RFmCQxSvt9dFyCkXHzhrpa,The Birth of the Museum: History| Theory| Politics,Tony Bennett,Routledge,9781136115240,English,9,5.0
Ye66x89XGBvyqGwijUWAij,A Companion to Renaissance and Baroque Art,Babette Bohn,John Wiley & Sons,9781118391518,English,7,0
REJvwymaYWwrqiquR5WM6d,Sensuous Surfaces: The Decorative Object in Early Modern China,Jonathan Hay,Reaktion Books,9781861898463,English,2,3.0
user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
dk9ajjRYDyReSm37jzHq2z,Understanding Sociological Theory for Educational Practices: Edition 2,Tania Ferfolja,Cambridge University Press,9781108395335,English,2,0
U9NijGioSCkqdc4CXeM8o3,Teaching Science in the Primary Classroom,Judith Roden,SAGE,9781847873774,English,7,0
Q6mGxqadCrEdhEVQYb3DjU,Assessment for Teaching: Edition 2,Patrick Griffin,Cambridge University Press,9781108565837,English,7,5.0
6eBhuWhLxD28MDvLJf793g,Controversy in the Classroom: The Democratic Power of Discussion,Diana E. Hess,Routledge,9781135897345,English,3,0
aJd7y2f6pVttTi4nndAt2C,How Students Learn: History| Mathematics| and Science in the Classroom,National Research Council,National Academies Press,9780309133036,English,0,5.0
aJej7geKmEKUg4gTjLuhjY,How Students Learn: Science in the Classroom,National Research Council,National Academies Press,9780309133234,English,9,0
6e9HisJxBsNAbhpctuQTSV,What English Language Teachers Need to Know Volume III: Designing Curriculum,MaryAnn Christison,Routledge,9781135098575,English,5,0
JY2TLQjJVeCJaKWkQN59MQ,Health| Safety| and Nutrition for the Young Child: Edition 9,Lynn R Marotz,Cengage Learning,9781285965598,English,0,4.0
4uKLVLyU7yEPz5UQyaz5Hs,Child and Adolescent Life Stories: Perspectives from Youth| Parents| and Teachers,Katherine H. Voegtle,SAGE Publications,9781506320854,English,0,0
Tevi8BoqbJmD5trtArwDCC,Understanding Sociological Theory for Educational Practices,Tania Ferfolja,Cambridge University Press,9781316334836,English,6,5.0
dcTm3Zcj6yJZoGcX7bn3yQ,Teaching Children and Adolescents Physical Education: Edition 4,George Graham,Human Kinetics,9781492585572,English,0,0
fp8iLEH49ijU9SBtJUiUjH,Mobile Learning: A Handbook for Developers| Educators| and Learners,Scott McQuiggan,John Wiley & Sons,9781118938959,English,2,0
3MqtvC2NYEfqrp2yghZ7tG,Aboriginal and Torres Strait Islander Education: An Introduction for the Teaching Profession,Kaye Price,Cambridge University Press,9781139627634,English,8,5.0
HfLSbZBmQDjjMHh7vWaTeD,Building on Student Diversity: Profiles and Activities,Joy R. Cowdery,SAGE Publications,9781483316925,English,9,3.5
V2igYzDPHNTyws7FJk8g2M,Dialects in Schools and Communities: Edition 2,Carolyn Temple Adger,Routledge,9781135554873,English,4,0
esAPqF8U8W4Suz9U4uh4Uv,Teaching and Learning STEM: A Practical Guide,Richard M. Felder,John Wiley & Sons,9781118925829,English,2,0
bf5AmA8g6u9gFCabHXXnnt,Visible Learning and the Science of How We Learn,John Hattie,Routledge,9781134643189,English,9,3.0
BpKKEo3eSYGqDMKwh5ShnT,The Jossey-Bass Reader on Educational Leadership: Edition 3,Margaret Grogan,John Wiley & Sons,9781118621509,English,9,5.0
FGhBhVvLqUdqeuDZVEc7y7,Working Memory and Learning: A Practical Guide for Teachers,Susan Gathercole,SAGE,9781446200155,English,8,0
nwmt7DNTty2hWqVpiGKoyQ,A Handbook for Supplementary Aids and Services: A Best Practice and IDEA Guide "to Enable Children with Disabilities to be Educated with Nondisabled Children to the Maximum Extent Appropriate",Edward Burns,Charles C Thomas Publisher,9780398073435,English,8,4.0
CdtNN553NerxjWsrjZUt2M,Mathematics Explained for Primary Teachers: Edition 6,Derek Haylock,SAGE,9781526454485,English,9,0
LGBh6kGKd3gUQs3eDidvuy,Developing Assessments for the Next Generation Science Standards,National Research Council,National Academies Press,9780309289542,English,5,4.7
ejEsek9JgxAiHcYK8DRzSn,Dynamic Physical Education for Elementary School Children: Edition 19,Robert P. Pangrazi,Human Kinetics,9781492590286,English,1,0
YThSAmL3jVxAhJT8DFkvqQ,Developing Active Learning in the Primary Classroom,Anitra Vickery,SAGE,9781446287217,English,3,0
VUdQirBXz4BrP8UXde2KH9,Visible Learning for Teachers: Maximizing Impact on Learning,John Hattie,Routledge,9781136592324,English,3,3.8
ZrvjH3tLvjns2ydbejstsL,Cooperative Learning in the Classroom: Putting it into Practice,Wendy Jolliffe,SAGE,9781848608474,English,5,4.5
DAxopEyEAzXMLF6LfhP5uq,Early Childhood Education: Becoming a Professional,Kimberly A. Gordon Biddle,SAGE Publications,9781483320687,English,9,0
5ScYX7tKMW5aTnbiNRQRdJ,Cooperative Learning: Integrating Theory and Practice,Robyn M. Gillies,SAGE,9781452236292,English,7,5.0
fFMky7nxENnUEBRyYjaa5W,The Hundred Languages of Children: The Reggio Emilia Approach--advanced Reflections,Carolyn P. Edwards,Greenwood Publishing Group,9781567503111,English,0,5.0
LCrGpqgt8PStLYyDSHvAXQ,Early Numeracy: Assessment for Teaching and Intervention| Edition 2,Robert J Wright,SAGE,9781446203958,English,0,4.5
WpaXhrAUECw4FpNLmD5ncc,Classroom Behaviour: A Practical Guide to Effective Teaching| Behaviour Management and Colleague Support| Edition 4,Bill Rogers,SAGE,9781473918283,English,6,5.0
6usS3e3KpduVTUFfzgDwQR,Best Practices in Literacy Instruction| Sixth Edition: Edition 6,Lesley Mandel Morrow,Guilford Publications,9781462536825,English,6,0
QLmdVtxfUiGDhNsyF3khTZ,Learning Theories in Childhood: Edition 2,Colette Gray,SAGE,9781473933781,English,9,5.0
cf5isC3iqqxVMn2SLtDDaE,Physical Best: Physical Education for Lifelong Fitness and Health| Edition 4,Jackie Conkle,Human Kinetics,9781492589761,English,5,0
gH2QjjugFbsGAc8aPPsMJe,Handbook of Research on Student Engagement,Sandra L. Christenson,Springer Science & Business Media,9781461420187,English,8,0
5KMgYZkRTVgB3HHEXzDcu4,Teacher Education Yearbook XXIV: Establishing a Sense of Place for All Learners in 21st Century Classrooms and Schools,LeAnn G. Putney,Rowman & Littlefield,9781475824582,English,6,0
MjeRduBgGZaEbZpJoqJziP,Language| Culture| and Community in Teacher Education,Maria Estela Brisk,Routledge,9781135155230,English,7,0
DmxG4q2kpScanDwRAhADAS,Minority Students in Special and Gifted Education,National Research Council,National Academies Press,9780309170819,English,5,0
Cp4LojjdV38xKnedbjXFgC,Developmental and Educational Psychology for Teachers: An applied approach| Edition 2,Dennis McInerney,Taylor & Francis,9781317365662,English,8,0
FUBH5wiuLomWyy7eWNLmd7,Taking Science to School: Learning and Teaching Science in Grades K-8,National Research Council,National Academies Press,9780309133838,English,0,0
Gtphf87ujUqmugbASVxr89,Technology-enabled Mathematics Education: Optimising Student Engagement,Catherine Attard,Routledge,9781351189378,English,7,0
DmsZyR4Qu58SriQC48MhAh,Learning to Teach: A Critical Approach to Field Experiences| Edition 2,Natalie G. Adams,Routledge,9781135602574,English,7,5.0
Q6ddPa7GzpoRYfoaoTik2M,Teaching Number in the Classroom with 4-8 Year Olds: Edition 2,Robert J Wright,SAGE,9781473908758,English,2,0
PBnxzYLU8NxSqzpuAceT3A,Beyond Classical Pedagogy: Teaching Elementary School Mathematics,Terry Wood,Routledge,9781135658717,English,2,0
3vLYBPpJTy5hDBaEFg7Nn6,Narrative Inquiry in Early Childhood and Elementary School: Learning to Teach| Teaching Well,Stephanie Sisk-Hilton,Routledge,9781317409038,English,0,0
JgJ3BpchjvjvfccuEuU7bx,STEM in Early Childhood Education: How Science| Technology| Engineering| and Mathematics Strengthen Learning,Lynn E. Cohen,Routledge,9780429843655,English,0,0
DcisRzKKCVHWVcmqxpQrsd,Tangled Up in School: Politics| Space| Bodies| and Signs in the Educational Process,Jan Nespor,Routledge,9781135458850,English,2,0
En9LFprwoXD2WKNoVSbJGQ,Dynamic Physical Education for Secondary School Students: Edition 9,Timothy A. Brusseau,Human Kinetics,9781492591108,English,3,0
56uegDcgamFA56nSNHMNie,Thinking Critically About Environments for Young Children: Bridging Theory & Practice,Lisa P. Kuh,Teachers College Press,9780807773086,English,4,0
jPx6ihRjGwFU23i9bjqtDo,Schools| Classrooms| and Pupils: International Studies of Schooling from a Multilevel Perspective,Stephen W. Raudenbush,Academic Press,9781483219813,English,2,0
user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
kVXuABdRrXCXggGTZwq6Aq,The Broadview Guide to Writing: A Handbook for Students - Sixth Edition: Edition 6,Corey Frost,Broadview Press,9781770485839,English,1,0
JrE3bqHNRMHAFQM5E8b5KU,Teaching English to Second Language Learners in Academic Contexts: Reading| Writing| Listening| and Speaking,Jonathan M. Newton,Routledge,9781317236542,English,0,0
KVn8hoFcG3tssxzkDYJD4z,Art of War,Niccolò Machiavelli,University of Chicago Press,9780226500324,English,9,4.1
RQUro74ZUzSmX7yNrwLw3H,Writing Science in the Twenty-First Century,Christopher Thaiss,Broadview Press,9781770487086,English,7,0
YXirAmtzr8UJLienGcWcBk,Multiliteracies for a Digital Age,Stuart Selber,SIU Press,9780809388684,English,6,0
aqEkcCBk4VWvt66GNECFL5,Fundamental College Composition,William P. DeFeo,Universal-Publishers,9781627346870,English,2,0
LZGxavTjgXSzsXwAtXyZmj,The Meaningful Writing Project: Learning| Teaching and Writing in Higher Education,Michele Eodice,University Press of Colorado,9781607325802,English,1,0
2wc7KrthtPTZt6E7XkcvNX,Rhetoric and Reality: Writing Instruction in American Colleges| 1900 - 1985,James A. Berlin,SIU Press,9780809386857,English,2,0
Kxk2c5pPNtsZknpMR445gf,English Grammar for Today: A new introduction,Geoffrey N. Leech,Macmillan International Higher Education,9781349168781,English,3,4.2
mudJVzgGpuGGuQxcZzg5KN,Business and Professional Writing: A Basic Guide - Second Edition: Edition 2,Paul MacRae,Broadview Press,9781770487062,English,5,0
LD2KJgaHAcwjuvwqjd7EB5,Writing Assessment and the Revolution in Digital Texts and Technologies,Michael R. Neal,Teachers College Press,9780807770757,English,9,0
SXqWzCcHCHtZdTF6agNVmw,Composition-Rhetoric: Backgrounds| Theory| and Pedagogy,Robert Connors,University of Pittsburgh Pre,9780822971825,English,6,0
GyFJoeS7AnUxFyyZpuREuP,The Writer's Workshop: Imitating Your Way to Better Writing,Gregory L. Roper,Open Road Media,9781497644359,English,0,0
GNomX5NL3NuGbBkpQgvZfB,Accessing the WAN| CCNA Exploration Companion Guide: Acce WAN CCNA Expl Comp Gd_1,Bob Vachon,Cisco Press,9780132877572,English,1,3.7
nV9bJkB5hSss2XgF6NNeQ3,Conquering the College Admissions Essay in 10 Steps| Second Edition: Crafting a Winning Personal Statement,Alan Gelb,Ten Speed Press,9781607743675,English,0,0
YvKer72rFWn8JGpkbED8fz,Focus on Writing: What College Students Want to Know,Laurie McMillan,Broadview Press,9781770487031,English,4,0
LuLY9iZzGM7HhHJnJj7yeg,The Art of Writing About Art: Edition 2,Suzanne Hudson,Cengage Learning,9781305179905,English,4,0
KBwHXbTkgHcqv3uWaACuDR,Integrated Korean: Beginning 2| Third Edition,Young-mee Cho,University of Hawaii Press,9780824889265,English,9,0
WaJ7Ze2J7Cf8DzR2rbLB8j,The Handy English Grammar Answer Book,Christine A. Hult,Visible Ink Press,9781578595716,English,3,5.0
JowwSB4ZKJ68EoYZkBoxRh,Music Theory and Composition: A Practical Approach,Stephen C. Stone,Rowman & Littlefield,9781538101247,English,7,4.0
TibHqUoPi3M3QbVYxf2AWY,College Writing and Beyond: A New Framework for University Writing Instruction,Anne Beaufort,University Press of Colorado,9780874216639,English,5,0
iBsuEpLEiB7C6dYWx9FjzD,Rewriting: How to Do Things with Texts| Second Edition,Joseph Harris,University Press of Colorado,9781607326878,English,0,0
Ah9oZeoFZP8dXwzHwnvGg6,Why They Can't Write: Killing the Five-Paragraph Essay and Other Necessities,John Warner,JHU Press,9781421427119,English,9,3.0
NSjmdY5mnxaXdvmWpfvZpb,The Mechanics of Writing,Dona J. Young,Dog Ear Publishing,9781598588170,English,4,5.0
73sq4VNTqFuGV86TajjRZm,English Grammar: A University Course| Edition 3,Angela Downing,Routledge,9781317610960,English,1,3.7
WisnfQQfgmuhq8Qu5Tjrfh,The Locations of Composition,Christopher J. Keller,SUNY Press,9780791479810,English,4,0
ha4WrfRB8tcXRCg6dEHBPf,The Call to Write: Edition 6,John Trimbur,Cengage Learning,9781285630823,English,8,4.0
ni8rXwksvnMgriNLyCgehF,Integrated Korean: Beginning 1| Third Edition,Young-mee Cho,University of Hawaii Press,9780824888657,English,2,5.0
Pt6oZP3woCAMR2vVYBzPXk,Practical Composition: Exercises for the English Classroom from Working Instructors,Russell Brickey|,McFarland,9781476615479,English,5,0
