user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
UtbHgukkvpv7pLCGgZ5j4U,The Dancer Defects: The Struggle for Cultural Supremacy during the Cold War,David Caute,OUP Oxford,9780191554582,English,1,5.0
Fr6QPaBz4Ym94vqtaJhfGW,Textual Poachers: Television Fans and Participatory Culture| Edition 2,Henry Jenkins,Routledge,9781136290718,English,9,5.0
7JSoPC27u9jrPcMLpYsjRh,Dynamic Symmetry: The Foundation of Masterful Art,Tavis Leaf Glover,Tavis Leaf Glover,9781733761222,English,8,0
H4VminidaA7aA8PuhrthPH,Writing for Visual Media: Edition 4,Anthony Friedmann,CRC Press,9781317964810,English,8,2.7
FNMzXjW5kZhdJd5WB3uzaY,Mathematics Explained for Primary Teachers: Edition 6,Derek Haylock,SAGE,9781526454485,English,8,0
FJddMYBJoE9zqQAZJGSLSK,Early Numeracy: Assessment for Teaching and Intervention| Edition 2,Robert J Wright,SAGE,9781446203958,English,9,4.5
LzbH6oB9RmLzY2XjPVnz84,Dynamic Physical Education for Elementary School Children: Edition 19,Robert P. Pangrazi,Human Kinetics,9781492590286,English,9,0
dLB2r5CyXBAsCHo4WiLFJj,Assessment for Teaching: Edition 2,Patrick Griffin,Cambridge University Press,9781108565837,English,4,5.0
68kkFQY8iBD3amKU48U9XS,Cooperative Learning in the Classroom: Putting it into Practice,Wendy Jolliffe,SAGE,9781848608474,English,1,4.5
YkKvREXJiEmZy9MM9yDZFh,The Hundred Languages of Children: The Reggio Emilia Approach--advanced Reflections,Carolyn P. Edwards,Greenwood Publishing Group,9781567503111,English,7,5.0
GC2SwABYUiYwgPQY93CfSc,Understanding Sociological Theory for Educational Practices: Edition 2,Tania Ferfolja,Cambridge University Press,9781108395335,English,8,0
LMSR8yBjAL8ZsqkciYzyHp,Aboriginal and Torres Strait Islander Education: An Introduction for the Teaching Profession,Kaye Price,Cambridge University Press,9781139627634,English,3,5.0
5Hoa6YprCVovCmbQfNYqvA,Early Childhood Education: Becoming a Professional,Kimberly A. Gordon Biddle,SAGE Publications,9781483320687,English,1,0
as9v3uFgFVr8NdvJE3Yb6F,Developing Active Learning in the Primary Classroom,Anitra Vickery,SAGE,9781446287217,English,5,0
6XWqTWWSoNGNFrjbdxPZso,Health| Safety| and Nutrition for the Young Child: Edition 9,Lynn R Marotz,Cengage Learning,9781285965598,English,8,4.0
RYzwarKZYPazHFko6qZvLw,Physical Best: Physical Education for Lifelong Fitness and Health| Edition 4,Jackie Conkle,Human Kinetics,9781492589761,English,1,0
m68WGXiEoPxP6dbEcg2knn,What English Language Teachers Need to Know Volume III: Designing Curriculum,MaryAnn Christison,Routledge,9781135098575,English,9,0
M4HNDhNpUtkknWA4c8tSN4,Best Practices in Literacy Instruction| Sixth Edition: Edition 6,Lesley Mandel Morrow,Guilford Publications,9781462536825,English,6,0
9LqGmhyGRq89bvvym34ovC,The Jossey-Bass Reader on Educational Leadership: Edition 3,Margaret Grogan,John Wiley & Sons,9781118621509,English,3,5.0
bjRPVRd8fJ7PUDDVCHJ7qG,Visible Learning and the Science of How We Learn,John Hattie,Routledge,9781134643189,English,8,3.0
7S9Q4qFf7Pdz996VLfF65o,Teaching Children and Adolescents Physical Education: Edition 4,George Graham,Human Kinetics,9781492585572,English,5,0
G6px6ZMHcYSdLmKEnWrDXA,Learning Theories in Childhood: Edition 2,Colette Gray,SAGE,9781473933781,English,6,5.0
hH87ohgt8NRcdJ4Kvt8SaV,Teaching Science in the Primary Classroom,Judith Roden,SAGE,9781847873774,English,2,0
H4WT2tJwZ5RyUed5NoAVMT,Cooperative Learning: Integrating Theory and Practice,Robyn M. Gillies,SAGE,9781452236292,English,4,5.0
8fkijfv3QzeX9itocbGWc5,Understanding Sociological Theory for Educational Practices,Tania Ferfolja,Cambridge University Press,9781316334836,English,6,5.0
fwZPgVTb8G6cR9nbRmwHNE,A Handbook for Supplementary Aids and Services: A Best Practice and IDEA Guide "to Enable Children with Disabilities to be Educated with Nondisabled Children to the Maximum Extent Appropriate",Edward Burns,Charles C Thomas Publisher,9780398073435,English,1,4.0
eVc8hGeK3gCdHk5r9byxBu,Handbook of Research on Student Engagement,Sandra L. Christenson,Springer Science & Business Media,9781461420187,English,4,0
B3MrFQschbbodRkYrf2mtm,Teaching and Learning STEM: A Practical Guide,Richard M. Felder,John Wiley & Sons,9781118925829,English,8,0
dZ4KJfL5vH3s8DuUAdroZb,Building on Student Diversity: Profiles and Activities,Joy R. Cowdery,SAGE Publications,9781483316925,English,0,3.5
9yezxDMmdkiqNY7pbdbpVi,Classroom Behaviour: A Practical Guide to Effective Teaching| Behaviour Management and Colleague Support| Edition 4,Bill Rogers,SAGE,9781473918283,English,0,5.0
fAftFJrnvB2d3QL75Fmqvb,Controversy in the Classroom: The Democratic Power of Discussion,Diana E. Hess,Routledge,9781135897345,English,6,0
bLaJ5ePHHZ5U7FRFJUbsPw,How Students Learn: History| Mathematics| and Science in the Classroom,National Research Council,National Academies Press,9780309133036,English,6,5.0
2jXxzRNeLZGoD3g6G5BU5g,Dialects in Schools and Communities: Edition 2,Carolyn Temple Adger,Routledge,9781135554873,English,2,0
QTWjMvt2rNusNTdUXyunCE,Developing Assessments for the Next Generation Science Standards,National Research Council,National Academies Press,9780309289542,English,0,4.7
NXGDCQcUDLomouyerUmeX9,Mobile Learning: A Handbook for Developers| Educators| and Learners,Scott McQuiggan,John Wiley & Sons,9781118938959,English,1,0
AbuzKxNTrA4Y3FUrYiThGG,Child and Adolescent Life Stories: Perspectives from Youth| Parents| and Teachers,Katherine H. Voegtle,SAGE Publications,9781506320854,English,0,0
jLRpLq6JewwYw7y8yyVfCN,How Students Learn: Science in the Classroom,National Research Council,National Academies Press,9780309133234,English,6,0
iGcJPJPBPXhkE6GrvRoivn,Working Memory and Learning: A Practical Guide for Teachers,Susan Gathercole,SAGE,9781446200155,English,6,0
K4DnnspYXiAkLtTVJXAijt,Visible Learning for Teachers: Maximizing Impact on Learning,John Hattie,Routledge,9781136592324,English,9,3.8
dgkcU9xiYNFzwkCuc2cJ5b,Teacher Education Yearbook XXIV: Establishing a Sense of Place for All Learners in 21st Century Classrooms and Schools,LeAnn G. Putney,Rowman & Littlefield,9781475824582,English,4,0
4ZNncsBBod9tHAFg2RRVbt,Language| Culture| and Community in Teacher Education,Maria Estela Brisk,Routledge,9781135155230,English,2,0
W4YmN3pNT32XiqcDtMBofR,Minority Students in Special and Gifted Education,National Research Council,National Academies Press,9780309170819,English,3,0
UhM3MbQwXuXKknD3Q33n2U,Developmental and Educational Psychology for Teachers: An applied approach| Edition 2,Dennis McInerney,Taylor & Francis,9781317365662,English,2,0
B7gG7S9qsaxm7yj2y2ghSe,Taking Science to School: Learning and Teaching Science in Grades K-8,National Research Council,National Academies Press,9780309133838,English,0,0
iU7BiLZriQr2q97dQ5Qr9q,Technology-enabled Mathematics Education: Optimising Student Engagement,Catherine Attard,Routledge,9781351189378,English,8,0
Yzosne3nD4XbnWhw3mMNqg,Learning to Teach: A Critical Approach to Field Experiences| Edition 2,Natalie G. Adams,Routledge,9781135602574,English,3,5.0
nq8xJRNfYzn6Zzx33BYTBQ,Teaching Number in the Classroom with 4-8 Year Olds: Edition 2,Robert J Wright,SAGE,9781473908758,English,6,0
C44r28tEz62HZPM7dTk26u,Beyond Classical Pedagogy: Teaching Elementary School Mathematics,Terry Wood,Routledge,9781135658717,English,0,0
jZqWv3gWhTcw4ZSgqSvnLS,Narrative Inquiry in Early Childhood and Elementary School: Learning to Teach| Teaching Well,Stephanie Sisk-Hilton,Routledge,9781317409038,English,6,0
fB5f3PKf764gfc3Ui5urL3,STEM in Early Childhood Education: How Science| Technology| Engineering| and Mathematics Strengthen Learning,Lynn E. Cohen,Routledge,9780429843655,English,6,0
dU2tGbWSVeBKWgThmZNxTz,Tangled Up in School: Politics| Space| Bodies| and Signs in the Educational Process,Jan Nespor,Routledge,9781135458850,English,0,0
fKHMKtXoTGPpT9rtvA37V7,Dynamic Physical Education for Secondary School Students: Edition 9,Timothy A. Brusseau,Human Kinetics,9781492591108,English,6,0
8CYesibU4KZEgBfzQUEz6k,Thinking Critically About Environments for Young Children: Bridging Theory & Practice,Lisa P. Kuh,Teachers College Press,9780807773086,English,4,0
2CdhCconXp93GuFFb4nq6i,Schools| Classrooms| and Pupils: International Studies of Schooling from a Multilevel Perspective,Stephen W. Raudenbush,Academic Press,9781483219813,English,6,0
o4SmZBLPWtqsZdYgpTVuYw,Academic Writing and Grammar for Students: Edition 2,Alex Osmond,SAGE,9781473947177,English,2,5.0
22gThuJzsUrfdmEnA6stVe,English Grammar for Today: A new introduction,Geoffrey N. Leech,Macmillan International Higher Education,9781349168781,English,7,4.2
Rb8xLitVMXFxHrdrdVBEcJ,The Meaning of Mariah Carey,Mariah Carey,Andy Cohen Books,9781250164698,English,1,4.8
dSB6Sb8ufTmL6ZdTsmAHNG,Accessing the WAN| CCNA Exploration Companion Guide: Acce WAN CCNA Expl Comp Gd_1,Bob Vachon,Cisco Press,9780132877572,English,7,3.7
adrnWZsPRt3pEWtkuCsnK5,An Introduction to English Grammar: Edition 4,Gerald Nelson,Routledge,9781317518587,English,4,4.4
HHhMHwkYmGuipLL2zkQX3A,The Meaningful Writing Project: Learning| Teaching and Writing in Higher Education,Michele Eodice,University Press of Colorado,9781607325802,English,1,0
SEagwYsuw4kHGxvH2eqt5G,Garden History Reference Encyclopedia: Historic books etc on garden design and landscape architecture,Tom Turner,Gardenvisit.com,,English,9,3.5
XkWkr8Vjxp5BQ2ZktEtNEz,The Mechanics of Writing,Dona J. Young,Dog Ear Publishing,9781598588170,English,0,5.0
jgnKUvbwiTEPBVwC9LHx2a,Readings for Writers: Edition 15,Jo Ray McCuen-Metherell,Cengage Learning,9781305537286,English,1,5.0
i9ZbNsjEeuggLonpBYQyqc,Focus on Writing: What College Students Want to Know,Laurie McMillan,Broadview Press,9781770487031,English,1,0
BzbWGr7dSuuc4iy6XWnwTN,Band 9 - IELTS Writing Task 2 - Real Tests,Nathan Dixon,Nathan Dixon,,English,5,4.2
LBvWdGdhLniUjUL82PLzHL,The Least You Should Know About English: Writing Skills: Edition 12,Paige Wilson,Cengage Learning,9781305156227,English,7,0
isWke4B4gavSPku8ctYJbu,Music Theory and Composition: A Practical Approach,Stephen C. Stone,Rowman & Littlefield,9781538101247,English,8,4.0
Ja52ccKA9ji4ykemKtZZDu,A Law Dictionary Containing Definitions of the Terms and Phrases of American and English Jurisprudence| Ancient and Modern ...,Henry Campbell Black,The Lawbook Exchange| Ltd.,9781886363106,English,8,4.1
XDRr9Bt9Q45ERf8TVoxhx7,The best preparation for IELTS: Writing academic module band 9,Ryan Wright,Ryan Wright,,English,4,4.8
iiw3ZEDVxc2XZL6a5RQEcc,The Writer's Workshop: Imitating Your Way to Better Writing,Gregory L. Roper,Open Road Media,9781497644359,English,2,0
RJnYxaCWzpmWKhRzDn5wcZ,A Concise Guide to Technical Communication,Heather Graves,Broadview Press,9781770487604,English,8,0
YLK4jYbEZwr5YArnR7AzEM,Reading| Thinking| and Writing About History: Teaching Argument Writing to Diverse Learners in the Common Core Classroom| Grades 6-12,Chauncey Monte-Sano,Teachers College Press,9780807772874,English,6,0
V3b9FWXgnFYJGXx9oMsu35,English Grammar: A University Course| Edition 3,Angela Downing,Routledge,9781317610960,English,3,3.7
JBcg3y9tiHS4F9xuC7EWZn,Business and Professional Writing: A Basic Guide - Second Edition: Edition 2,Paul MacRae,Broadview Press,9781770487062,English,3,0
75cLMyAuED9VgKMuNf3GoS,Conquering the College Admissions Essay in 10 Steps| Second Edition: Crafting a Winning Personal Statement,Alan Gelb,Ten Speed Press,9781607743675,English,3,0
4LufGh8GjpcEhZiJ28LTvw,Writing for Science Students,Jennifer Boyle,Macmillan International Higher Education,9781137571526,English,2,0
bKaJBTQQDicN4oyGdtaNUy,Rewriting: How to Do Things with Texts| Second Edition,Joseph Harris,University Press of Colorado,9781607326878,English,1,0
9dpG3LZW7EKDaPNxLsph3N,CliffsTestPrep CSET: English,Emily M Hutchinson,Houghton Mifflin Harcourt,9780544185807,English,1,3.0
K3BCQzzwcgpEyfAteTNcaT,The Call to Write: Edition 6,John Trimbur,Cengage Learning,9781285630823,English,6,4.0
SVAN4R2XgvDxECv5a6K58Q,The Object-Oriented Thought Process: Edition 3,Matt Weisfeld,Pearson Education,9780132704687,English,9,4.3
5u4euhQcXs2ijZaEaQEEZm,The Least You Should Know about English: Writing Skills| Form B: Edition 11,Paige Wilson,Cengage Learning,9781133713630,English,5,5.0
i9VX2Xpd8q6pfK8PNKqopX,The Handy English Grammar Answer Book,Christine A. Hult,Visible Ink Press,9781578595716,English,7,5.0
MJzkJ6GtjrSUWeQ7EEKbvN,Teaching English to Second Language Learners in Academic Contexts: Reading| Writing| Listening| and Speaking,Jonathan M. Newton,Routledge,9781317236542,English,7,0
63X3iPqfdohZgWptYmk8fj,The Broadview Guide to Writing: A Handbook for Students - Sixth Edition: Edition 6,Corey Frost,Broadview Press,9781770485839,English,0,0
Xt2XeujJYeFDtp92yKtrZB,College Writing and Beyond: A New Framework for University Writing Instruction,Anne Beaufort,University Press of Colorado,9780874216639,English,9,0
